"id_unico","nombre","nombre_municipio","distancia_m_linea_electrica","ccaa","provincia"
1727,"Gillué","Sabiñánigo","396.07057869","Aragón","Huesca"
1743,"Cajigar","Monesma y Cajigar","5873.60915031","Aragón","Huesca"
1784,"Bárcabo","Bárcabo","10168.6753518","Aragón","Huesca"
1808,"Arrés","Bailo","3248.55600169","Aragón","Huesca"
2604,"Leiroso","Oencia","12093.54702665","Castilla y León","León"
1813,"Santa Engracia de Jaca","Puente la Reina de Jaca","0","Aragón","Huesca"
1821,"Paúles de Sarsa","Aínsa-Sobrarbe","10214.33906381","Aragón","Huesca"
1837,"Martes","Canal de Berdún","2340.19105366","Aragón","Huesca"
1851,"Used","Sabiñánigo","10133.32305405","Aragón","Huesca"
1857,"Biniés","Canal de Berdún","2370.213146","Aragón","Huesca"
1865,"Nocito","Nueno","10967.86639233","Aragón","Huesca"
1867,"Don Domingo","Santiago-Pontones","15159.76998589","Andalucía","Jaén"
1905,"Planillo","Fiscal","3137.56770483","Aragón","Huesca"
1912,"Huelga Utrera","Santiago-Pontones","20.58725152","Andalucía","Jaén"
1948,"Bara","Sabiñánigo","8923.64200354","Aragón","Huesca"
4177,"Montargull","La Vansa i Fórnols","238.02154675","Cataluña-Catalunya","Lleida"
1973,"Majones","Canal de Berdún","5779.95711138","Aragón","Huesca"
8680,"A Granxa","Oímbra","6741.49831296","Galicia","Ourense"
8683,"Portocamba","Castrelo do Val","15909.09767451","Galicia","Ourense"
8754,"Vilar","Calvos de Randín","10251.954972","Galicia","Ourense"
1995,"Las Almansas","Chilluévar","14486.12674168","Andalucía","Jaén"
2054,"Almazorre","Bárcabo","10279.35660282","Aragón","Huesca"
2071,"Santa María de la Nuez","Bárcabo","10884.53029512","Aragón","Huesca"
8774,"Dona Elvira","Vilardevós","9735.27913129","Galicia","Ourense"
2108,"Las Nogueras","Santiago-Pontones","8142.43790922","Andalucía","Jaén"
2134,"Villarrodrigo","Villarrodrigo","99999","Andalucía","Jaén"
2147,"Arroyo Venancia","Santiago-Pontones","11607.83677409","Andalucía","Jaén"
2156,"Los Atascaderos","Santiago-Pontones","7630.38603662","Andalucía","Jaén"
2175,"El Patronato","Santiago-Pontones","13449.05786154","Andalucía","Jaén"
2176,"Las Quebradas","Santiago-Pontones","6971.01669441","Andalucía","Jaén"
2194,"Los Cañuelos","Santiago-Pontones","10185.61981772","Andalucía","Jaén"
2220,"Vadillo Castril","Cazorla","14874.94699862","Andalucía","Jaén"
2223,"Estación de Cabra","Cabra del Santo Cristo","18913.39727373","Andalucía","Jaén"
2272,"El Palomar","La Iruela","14357.96527673","Andalucía","Jaén"
2278,"Agrupación de Mogón","Villacarrillo","7029.13087573","Andalucía","Jaén"
2279,"Vega de Castrobayona","Siles","15777.78379177","Andalucía","Jaén"
2289,"El Cerezo","Santiago-Pontones","10803.60998621","Andalucía","Jaén"
2292,"Agrupación de Santo Tomé","Santo Tomé","7350.11736503","Andalucía","Jaén"
9429,"Villaoril","Ibias","14094.94051896","Principado de Asturias","Asturias"
2306,"Poyotello","Santiago-Pontones","2252.01903032","Andalucía","Jaén"
2320,"Arroturas","Villacarrillo","7762.93692824","Andalucía","Jaén"
2356,"Los Espejos de la Reina","Boca de Huérgano","14812.53805411","Castilla y León","León"
2400,"Los Montes de la Ermita","Igüeña","12785.15622395","Castilla y León","León"
2420,"Suárbol","Valle de Ancares","15663.83709001","Castilla y León","León"
2436,"Valdemorilla","Izagre","2659.35262098","Castilla y León","León"
2444,"Fuentes de Carbajal","Fuentes de Carbajal","5122.09899523","Castilla y León","León"
2449,"Llánaves de la Reina","Boca de Huérgano","16511.18275566","Castilla y León","León"
2462,"Valdavida","Villaselán","4205.23222723","Castilla y León","León"
2526,"Castromudarra","Almanza","6780.07306547","Castilla y León","León"
2532,"Arnado","Oencia","11273.22358574","Castilla y León","León"
2569,"Barniedo de la Reina","Boca de Huérgano","14953.02317868","Castilla y León","León"
2587,"Villaselán","Villaselán","947.26285733","Castilla y León","León"
2612,"Gestoso","Oencia","12854.18539117","Castilla y León","León"
2624,"Villafeliz de Babia","San Emiliano","3479.2803086","Castilla y León","León"
2688,"Siero de la Reina","Boca de Huérgano","9243.788845","Castilla y León","León"
2697,"Villabandín","Murias de Paredes","10163.9456929","Castilla y León","León"
2700,"Senra de Omaña","Murias de Paredes","10737.98501887","Castilla y León","León"
2732,"Chano","Peranzanes","11945.85374117","Castilla y León","León"
2754,"Torrestío","San Emiliano","8051.75757319","Castilla y León","León"
2779,"Porcarizas","Villafranca del Bierzo","9768.83131753","Castilla y León","León"
2837,"Albaredos","Barjas","8475.70290557","Castilla y León","León"
2846,"Villarrubín","Oencia","10972.75277474","Castilla y León","León"
2899,"Sanvitul","Oencia","12818.44533014","Castilla y León","León"
2925,"Villacerán","Villaselán","2835.61411074","Castilla y León","León"
2989,"Portilla de la Reina","Boca de Huérgano","13615.18798216","Castilla y León","León"
3009,"Arcayos","Villaselán","4642.06216587","Castilla y León","León"
3034,"Lazado","Murias de Paredes","10127.26038417","Castilla y León","León"
3168,"Balouta","Valle de Ancares","19866.71631807","Castilla y León","León"
3194,"Rodicol","Murias de Paredes","12011.78909879","Castilla y León","León"
3206,"Pereda de Ancares","Valle de Ancares","11216.98645311","Castilla y León","León"
3354,"San Félix de Arce","Cabrillanes","298.14888637","Castilla y León","León"
3393,"Carbajal de Fuentes","Fuentes de Carbajal","5214.80899147","Castilla y León","León"
3399,"Valdavido","Truchas","12513.32741166","Castilla y León","León"
3426,"Campo del Agua","Villafranca del Bierzo","10922.23323421","Castilla y León","León"
11371,"San Esteban","Ibias","18630.75353891","Principado de Asturias","Asturias"
3439,"Valdesaz de los Oteros","Pajares de los Oteros","2519.09341734","Castilla y León","León"
3457,"Castrovega de Valmadrigal","Valverde-Enrique","621.31801043","Castilla y León","León"
3493,"Els Castells","Les Valls d'Aguilar","9639.27788011","Cataluña-Catalunya","Lleida"
3498,"Quintanilla de los Oteros","Pajares de los Oteros","3846.20507111","Castilla y León","León"
17718,"La Alberguería de Argañán","La Alberguería de Argañán","18793.32969843","Castilla y León","Salamanca"
17728,"Fuentes de Oñoro","Fuentes de Oñoro","8851.44902391","Castilla y León","Salamanca"
17765,"Puebla de Azaba","Puebla de Azaba","12559.92312173","Castilla y León","Salamanca"
17777,"Los Santos","Los Santos","10618.43850146","Castilla y León","Salamanca"
17803,"Villasrubias","Villasrubias","8924.99805167","Castilla y León","Salamanca"
17807,"Aldea del Obispo","Aldea del Obispo","11727.04089471","Castilla y León","Salamanca"
17867,"Fuenteliante","Fuenteliante","6325.41662403","Castilla y León","Salamanca"
17898,"Revalvos","Armenteros","6803.91694843","Castilla y León","Salamanca"
