"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Caleruega","Burgos","Castilla y León","-19.795918367346896","0"
"Ciria","Soria","Castilla y León","-25.263157894736800","0"
"Merindad de Sotoscueva","Burgos","Castilla y León","0.234741784037559","0"
"Castilnuevo","Guadalajara","Castilla-La Mancha","0.000000000000000","0"
"Villarroya de los Pinares","Teruel","Aragón","5.000000000000000","0"
"Aldeatejada","Salamanca","Castilla y León","50.508069336521203","0"
"Carucedo","León","Castilla y León","-17.910447761194000","0"
"Balconchán","Zaragoza","Aragón","41.666666666666707","0"
"Cartajima","Málaga","Andalucía","-7.936507936507939","0"
"Albaladejo","Ciudad Real","Castilla-La Mancha","-25.178826895565098","0"
"Nolay","Soria","Castilla y León","-13.793103448275902","0"
"Arcones","Segovia","Castilla y León","-18.025751072961402","0"
"Alcaucín","Málaga","Andalucía","4.074979625101871","0"
"El Molar","Tarragona","Cataluña-Catalunya","7.167235494880551","0"
"Semillas","Guadalajara","Castilla-La Mancha","-25.000000000000000","0"
"Beas de Granada","Granada","Andalucía","-1.293532338308460","0"
"Maján","Soria","Castilla y León","-30.769230769230802","0"
"Arancón","Soria","Castilla y León","-10.869565217391301","0"
"Padul","Granada","Andalucía","12.965401652101001","0"
"Tosantos","Burgos","Castilla y León","-5.357142857142859","0"
"Almócita","Almería","Andalucía","23.952095808383202","0"
"El Maíllo","Salamanca","Castilla y León","-2.684563758389260","0"
"Lapuebla de Labarca","Araba-Álava","País Vasco-Euskadi","0.464576074332172","0"
"Puçol","València-Valencia","Comunitat Valenciana","7.186805232407840","0"
"Martín del Río","Teruel","Aragón","-15.331807780320400","0"
"Garrucha","Almería","Andalucía","19.740500463391999","0"
"Miraveche","Burgos","Castilla y León","9.302325581395351","0"
"El Pino de Tormes","Salamanca","Castilla y León","-1.273885350318470","0"
"Lecrín","Granada","Andalucía","3.673094582185490","0"
"Ollauri","La Rioja","La Rioja","6.484641638225261","0"
"Ereño","Bizkaia","País Vasco-Euskadi","13.524590163934398","0"
"Tierga","Zaragoza","Aragón","-11.675126903553300","0"
"Pontedeva","Ourense","Galicia","-25.120000000000001","0"
"Sant Vicent del Raspeig/San Vicente del Raspeig","Alacant-Alicante","Comunitat Valenciana","7.117577664176169","0"
"Huertahernando","Guadalajara","Castilla-La Mancha","0.000000000000000","0"
"Pinseque","Zaragoza","Aragón","19.779310344827600","0"
